,company_name,average_salary,total_sale
355,보쉬렉스로스코리아,"5,847만원",1151.9억원
356,서흥인터내셔날,"3,616만원",224.1억원
357,에이아이에프,회사없음,회사없음
358,루미가넷,"2,717만원",40.8억원
359,박스터,"6,032만원",2449억원
360,세방익스프레스,"5,161만원",2141.6억원
361,세이브존,"5,057만원",529.7억원
362,티엔티익스프레스,회사없음1,회사없음1
363,한국엔드레스하우저,"6,032만원",726.2억원
364,혼다코리아,"5,790만원",2892.9억원
365,케이씨티시,"6,251만원",4659.9억원
366,프리미엄패스인터내셔널,"2,826만원",58.7억원
367,고려해운,"3,731만원",5억원
368,한국스트라이커,"6,032만원",1485.8억원
369,한국야스카와전기,"6,032만원",2180.4억원
370,에이수스코리아,회사없음,회사없음
371,지앤푸드,회사없음,회사없음
372,더클래스효성,"5,481만원",1.4조원
373,피플앤코,"3,891만원",229.8억원
374,야마하뮤직코리아,"5,645만원",844.9억원
375,태영상선,"4,829만원",999.2억원
376,금양인터내셔날,회사없음,회사없음
377,넥스트플레이어,"4,356만원",144.7억원
378,우신라보타치,"4,259만원",212.9억원
379,S.F.Express,회사없음1,회사없음1
380,공항철도,"6,032만원",4186.5억원
381,복정제형,"3,147만원",1074.8억원
382,오토플러스,회사없음,회사없음
383,카파코리아,"2,172만원",752.1억원
384,하니웰애널리틱스,"2,815만원",1523.9억원
385,아식스코리아,"3,929만원",966.5억원
386,제때,"5,310만원",2292.4억원
387,솔리드이엔지,"4,690만원",526.7억원
388,애터미,"6,032만원",1.1조원
389,엔투비,"1,350만원",1.3억원
390,제이더블유중외메디칼,"3,901만원",479.3억원
391,한국아즈빌,"5,906만원",434.5억원
392,올리브인터내셔널,"4,586만원",272억원
393,펫프렌즈,"4,799만원",610.1억원
394,한솔피엔에스,"5,481만원",2573.2억원
395,리테일앤인사이트,"3,524만원",182.6억원
396,이상네트웍스,"6,265만원",291.6억원
397,디에이치케이솔루션,"5,837만원",217.7억원
398,아리따움 ,회사없음,회사없음
399,온라인팜,"5,992만원",9165.3억원
400,준코 노래타운,회사없음,회사없음
401,클라랑스코리아,"3,909만원",201.3억원
402,페어콘라인,"4,972만원",445.9억원
