,company_name,turn_over_rate
661,에프앤코,(30%)
662,테크엘,(42%)
663,모토닉,(24%)
664,인켈,(75%)
665,재영솔루텍,(14%)
666,태화기업,(67%)
667,파카코리아,(28%)
668,시드물,(31%)
669,이랜텍,(13%)
670,코다코,(21%)
671,경동원,(16%)
672,농업회사법인조인,(9999%)
673,대동도어,(14%)
674,비츠로시스,(40%)
675,삼표,(135%)
676,큐메이트,(67%)
677,한솔케미칼,(8%)
678,씨제이포디플렉스,(26%)
679,케이디파워,(49%)
680,파워로직스,(16%)
681,한일전기,(177%)
682,텔레칩스,(15%)
683,블랙야크,(28%)
684,삼목에스폼,(7%)
685,유니온커뮤니티,(15%)
686,크나우프석고보드,(13%)
687,효성전기,(28%)
688,스맥,(23%)
689,오알켐,(18%)
690,유진로봇,(30%)
691,센서텍,(59%)
692,아트라스비엑스,(32%)
693,엘시시,(45%)
694,우주일렉트로닉스,(18%)
695,SNT모티브,(8%)
696,유니트아이엔씨,(24%)
697,케이엘에이텐코코리아,(10%)
698,나무가,(21%)
699,메디아나,(38%)
700,바이와이제이,(27%)
701,선익시스템,(8%)
702,싸이맥스,(20%)
703,사조해표,(114%)
704,삼성공조,(19%)
705,유아이엘,(31%)
706,인테그리스코리아,(25%)
707,프라코,(12%)
708,다이나믹디자인,(18%)
709,멈스,(108%)
710,경창산업,(13%)
711,에스엠알오토모티브모듈코리아,(19%)
712,엘티소재,(16%)
713,뉴옵틱스,(34%)
714,에이팩트,(35%)
715,세양물산,(82%)
716,소셜빈,(9999%)
717,신티에스,(46%)
718,롯데에너지머티리얼즈,(10%)
719,멜파스,(99%)
720,디에이테크놀로지,(50%)
721,삼화,(33%)
722,에이치앤이루자,(17%)
723,와이즈산전,(49%)
724,인피니언테크놀로지스파워세미텍,(25%)
725,조이슨세이프티시스템스코리아,(25%)
726,디아이씨,(33%)
727,대한제당,(6%)
728,후지테크코리아,(17%)
729,체리부로,(37%)
730,카오리온코스메틱스,(100%)
731,큐아이엠,(33%)
732,애경화학,(111%)
733,에이스그룹,정보없음.
734,코오롱글로텍,(24%)
735,한국전기연구원,(15%)
736,삼익악기,(51%)
737,오이솔루션,(31%)
738,피제이전자,(34%)
739,한국화이바,(12%)
740,대한제강,(6%)
741,정우비나,(32%)
742,화인폰,(41%)
743,스와니코코,(49%)
744,에스제이듀코,(24%)
745,제이시스메디칼,(121%)
746,제이티,(66%)
747,니덱모빌리티코리아,(20%)
748,에스피피조선,(80%)
749,인텍플러스,(11%)
750,케이피엑스케미칼,(14%)
751,코코도르,(56%)
752,파크시스템스,(15%)
753,슈프리마에이치큐,(21%)
754,에뛰드,(31%)
755,테이팩스,(174%)
756,고려은단,(34%)
757,대선주조,(23%)
758,스무디킹홀딩스,(33%)
759,에이치케이,(16%)
760,현대엘앤씨,(27%)
761,엔브이에이치코리아,(13%)
762,대구특수금속,(23%)
763,일지테크,(14%)
764,대봉엘에스,(26%)
765,디아이지에어가스,(14%)
766,삼성발레오써멀시스템스,(59%)
767,코웰전자,(14%)
768,하이윈코퍼레이션,(31%)
769,국순당,(17%)
770,덕신하우징,(30%)
771,갑을오토텍,(14%)
772,성화물산,(23%)
773,엘앤피코스메틱,(30%)
774,디엔솔루션즈,(11%)
775,엔프라니,(30%)
776,이노바이오써지,(41%)
777,케이씨이노베이션,(29%)
778,나노스,(38%)
779,서원인텍,(8%)
780,애경케미칼,(15%)
781,에스케이씨,(333%)
782,오텍캐리어냉장,(33%)
783,알토,(26%)
784,엔유씨전자,(20%)
785,인그리디언코리아,(8%)
786,한국방송통신전파진흥원,(15%)
787,마팔하이테코,(25%)
788,수산중공업,(17%)
789,유니베라,(24%)
790,레드페이스,(77%)
791,우신공업,(12%)
792,태성전장,(24%)
793,태웅메디칼,(30%)
794,제노레이,(17%)
795,케이티이,(28%)
796,휴비츠,(10%)
797,라이온코리아,(12%)
798,신흥에스이씨,(120%)
799,아바텍,(20%)
800,하이록코리아,(22%)
801,레이크머티리얼즈,(119%)
802,브이엘엔코,(76%)
803,농업회사법인아시아종묘,(31%)
804,대한유화,(12%)
805,생고뱅코리아,(13%)
806,유도썬스,(158%)
807,포인트닉스,(29%)
808,한국다우케미칼,(17%)
809,우성,(61%)
810,금호전기,(67%)
811,네파,(26%)
812,다산네트웍스,(42%)
813,마니커,(39%)
814,세아베스틸,(22%)
815,비에스이,(61%)
816,켐토피아,(56%)
817,휴롬,(34%)
818,금강공업,(6%)
819,기가레인,(19%)
820,동아화성,(38%)
821,신한벽지,(23%)
822,한경희생활과학,(260%)
823,녹수,(35%)
824,동화엔텍,(8%)
825,에이빌코리아,(40%)
826,원익홀딩스,(19%)
827,유진테크,(267%)
828,인지디스플레이,(57%)
829,글로텍,(5%)
830,에이치디씨현대이피,(13%)
831,이수엑사보드,(208%)
832,희성촉매,(10%)
833,광천김,(57%)
834,네오플램,(29%)
835,이수페타시스,(7%)
836,케이엔알시스템,(22%)
837,대한광통신,(24%)
838,두원중공업,(7%)
839,지엠비코리아,(9%)
840,한국요꼬가와일렉트로닉스매뉴팩처링,(20%)
841,시스템알앤디,(39%)
842,한중엔시에스,(35%)
843,광림통상,(300%)
844,대원정밀공업,(22%)
845,연합정밀,(30%)
846,오제이씨,(129%)
847,넥센,(19%)
848,듀오백,(39%)
849,서진오토모티브,(10%)
850,진양오일씰,(20%)
851,와이엠씨,(38%)
852,칸,(60%)
853,대현환경,(36%)
854,리큅,(35%)
855,에프알텍,(40%)
856,포인트엔지니어링,(120%)
857,두산전자,(11%)
858,무림피앤피,(6%)
859,종근당건강,(21%)
860,한국에스엠티,(60%)
861,모토텍,(110%)
862,벽산,(120%)
863,사임당화장품,(82%)
864,리테일미디어솔루션,(32%)
865,비타민하우스,(32%)
866,새론오토모티브,(6%)
867,화성코스메틱,(23%)
868,디알젬,(28%)
869,머큐리코퍼레이션,(76%)
870,비엘헬스케어,(86%)
871,엘앤케이바이오메드,(30%)
872,티케이케미칼,(32%)
873,뉴프렉스,(48%)
874,한진화학,(17%)
875,삐아,(23%)
876,엠에스오토텍,(17%)
877,팜스코,(11%)
878,동원금속,(12%)
879,동인기연,(20%)
880,솔라루체,(38%)
881,아반스트레이트코리아,(97%)
882,유씨엘,(13%)
883,한국경남태양유전,(12%)
884,모닝글로리,(25%)
885,에스티지24,(45%)
886,트렉스타,(47%)
887,대흥알앤티,(10%)
888,신한중공업,(107%)
889,에어프로덕츠코리아,(7%)
890,한국제지,(105%)
891,한미헬스케어,(123%)
892,비츠로테크,(40%)
893,뉴모텍,(26%)
894,디케이락,(24%)
895,서울검사,(54%)
896,로봇앤드디자인,(28%)
897,리팩,(14%)
898,내셔날오일웰바르코코리아,(4%)
899,에이테크오토모티브,(37%)
900,펌텍코리아,(26%)
901,한신기계공업,(51%)
902,에이블루,(77%)
903,영진,(33%)
904,우익반도체,(22%)
905,덕양산업,(33%)
906,에이앤지테크놀로지,(27%)
907,제일이엔에스,(100%)
908,네오팜,(18%)
909,보끄레머천다이징,(43%)
910,선인,(17%)
911,한컴라이프케어,(24%)
912,금호타이어용인중앙연구소,(23%)
913,다인정공,(15%)
914,두리화장품,(43%)
915,삼천리,(5%)
916,삼화전기,(17%)
917,선보공업,(26%)
918,이노진,(35%)
919,천일식품,(157%)
920,금영제너럴,(80%)
921,에어릭스,(79%)
922,영광와이케이엠씨,(51%)
923,태진인터내셔날,(125%)
924,갑진,(35%)
925,이오시스템,(10%)
926,티유브이슈드코리아,(28%)
927,한국해양교통안전공단,(24%)
928,나노엔텍,(23%)
929,애니원,(52%)
930,오디텍,(34%)
931,만앤휴멜코리아,(15%)
932,아남전자,(15%)
933,에이앤아이,(33%)
934,에이치디현대글로벌서비스,(6%)
935,넥솔론,(9999%)
936,넵스,(143%)
937,세경하이테크,(28%)
938,쎄믹스,(17%)
939,코모스,(48%)
940,나사렛국제병원,(50%)
941,에이케이켐텍,(113%)
942,인알파코리아,(14%)
943,피플웍스,(23%)
944,한국맥널티,(53%)
945,환경관리,정보없음.
946,대성하이텍,(66%)
947,더페이스샵,(134%)
948,비아트론,(25%)
949,티엠씨,(29%)
950,동아전기부품,(40%)
951,린데코리아,(46%)
952,미원스페셜티케미칼,(10%)
953,에이티아이,(14%)
954,엠케이에스코리아,(14%)
955,이롬,(39%)
956,현대비앤지스틸,(17%)
957,미래보,(17%)
958,코스틸,(85%)
959,광성기업,(23%)
960,삼원색,(99%)
961,서보산업,(32%)
962,세종공업,(12%)
963,씨케이코퍼레이션즈,(35%)
964,에스텍,(47%)
965,웅진식품,(15%)
966,유풍,(6%)
967,조선내화,(148%)
968,쿠도커뮤니케이션,(105%)
969,한국내화,(14%)
970,한국석유공사,(7%)
971,경신전선,(10%)
972,범천정밀,(51%)
973,일삼,(14%)
974,엘에스메카피온,(19%)
975,한국석유관리원,(19%)
976,드림텍,(108%)
977,에이텍에이피,(22%)
978,쌍용씨앤이,(6%)
979,엔티렉스,(22%)
980,코카콜라음료,(10%)
981,한국타코닉,(29%)
982,삼양발브종합메이커,(38%)
983,엑시콘,(20%)
984,코윈테크,(22%)
