,cmp,0,1,2,3,4,5,6,7,8
87,(주)행림종합건축사사무소,0.9902275800704956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,(주)동아지질,0.0,0.0,0.9189778566360474,0.0,0.07323919236660004,0.0,0.0,0.0,0.0
89,한미글로벌건축사사무소(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9915286302566528,0.0,0.0
90,(주)신안,0.0,0.0,0.0,0.0,0.0,0.9894113540649414,0.0,0.0,0.0
91,건일엠이씨(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9905370473861694
92,간삼건축종합건축사사무소(주),0.0,0.0,0.0,0.0,0.0,0.0,0.9904360771179199,0.0,0.0
93,이웨이(주),0.0,0.0,0.0,0.0,0.3719068169593811,0.0,0.6226505637168884,0.0,0.0
94,평화엔지니어링(주),0.0,0.0,0.0,0.0,0.0,0.0,0.7872953414916992,0.0,0.2047625035047531
95,(주)서해종합건설,0.0,0.0,0.5889020562171936,0.0,0.08821279555559158,0.0,0.14611248672008514,0.0,0.17492568492889404
96,경기주택도시공사,0.0,0.0,0.22933892905712128,0.0,0.0,0.0,0.763650119304657,0.0,0.0
97,신세계건설(주),0.0,0.0,0.0,0.9941102862358093,0.0,0.0,0.0,0.0,0.0
98,대우산업개발(주),0.0,0.0,0.0,0.0,0.3381507992744446,0.0,0.6023367047309875,0.054218191653490067,0.0
99,(주)삼원에스앤디,0.0,0.0,0.0,0.0,0.23729386925697327,0.05139024555683136,0.0,0.0,0.7001960873603821
100,(주)타워피엠씨,0.0,0.0,0.0,0.0,0.0,0.9878159761428833,0.0,0.0,0.0
101,동일인테리어(주),0.0,0.0,0.0,0.0,0.0626462996006012,0.9241615533828735,0.0,0.0,0.0
102,(주)신보,0.0,0.15540781617164612,0.24731561541557312,0.0,0.32549312710762024,0.03648516908288002,0.0,0.0,0.22944562137126923
103,동광제약(주),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991913378238678
104,서울데이타통신(주),0.0,0.0,0.0,0.0,0.0,0.9810755252838135,0.0,0.0,0.0
105,(주)세아네트웍스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9874732494354248
106,(주)엠에이피한터인종합건축사사무소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9832156896591187,0.0
107,성창이엔씨(주),0.027783676981925964,0.027787815779447556,0.027809755876660347,0.027811402454972267,0.027784088626503944,0.7776174545288086,0.02780969999730587,0.02780075930058956,0.027795342728495598
